Keys,uk
UI_FUEL_REQUIRED,Пального потрібно
UI_FUEL,Пальне
UI_ENTER_NAME,Введіть назву
UI_AUTO_SAVE,Увімкнути авто-збереження
UI_HELP,Допомога
UI_GITHUB,Github
UI_MAX_HP,Максимально ОЗ
UI_DETERIORATION,Швидкість псування
UI_FLAMMABILITY,Горючість
UI_MARKET_VALUE,Ринкова ціна
UI_PRICE_MULTIPLIER,Множник ціни 
UI_MASS,Вага  
UI_COMFORT,Комфорт
DEFAULT_NO_NAME,Без імені
DEFAULT_NO_TITLE,Без назви
DEFAULT_NO_DESCRIPTION,Без опису
UI_DESCRIPTION,Опис
UNSUPPORTED_RESOLUTION,Непідтримуване розширення!
UI_SHIP_WEIGHT_CAP,Максимальне навантаження корабля
UI_ZONES,Зони
UI_ALLOW_ALL,Дозволити все
UI_REMOVE_ALL,Забрати все
UI_PROFESSION,Професія
UI_PREVIOUS,Минулий
UI_CURRENT,Поточний
UI_INFO,Інфо
UI_AGE,Вік
UI_GENDER,Стать
UI_ILLNESSES,Хвороби
UI_INJURIES,Поранення
UI_HYDRATION,Пиття
UI_ENERGY,Енергія
UI_FULLNESS,Їжа
UI_HISTORY,Історія
UI_SKILLS,Навички
UI_STATISTICS,Статистика
UI_PRIMARY_MATERIAL,Основний матеріал
UI_SECONDARY_MATERIAL,Неосновний матеріал
UI_EXPORT_SHIP_LAYOUT,Експортувати макет корабля
UI_CURRENT_TRACK,Поточний трек:
UI_NEEDS,Потреби
UI_UNIVERSE_CREATION,Створення всесвіту
UI_FACTIONS_AVAILABLE,Доступні фракції
UI_FACTIONS_SELECTED,Обрані Фракції
UI_CONSTRUCTION,Будівництво
UI_RESEARCH_MENU,Наука
UI_GAME_INFO,Ігрова інформація
UI_FACTIONS,Фракції
UI_FACTION,Фракція
UI_PAIN,Біль
UI_CONSCIOUSNESS,Притомність
UI_RESPIRATION,Дихання
UI_PRIORITY,Пріоритет
UI_ROSTER,Список
UI_ROOMS,Кімнати
UI_EQUIPMENT,Спорядження
UI_CHOOSE_EMBLEM,Обрати емблему
UI_PICK_A_COLOUR,Обрати колір
UI_RECORDS,Записи
UI_TRADE,Торгівля
UI_BRIBE,Підкуп
UI_NEGOTIATE,Переговори
UI_COMMUNICATE,Увімкнути комунікації
UI_PREPARING_TO_LEAVE,Готуємось вирушати ... !
UI_ATTEMPT_TO_BRIBE,Спроба підкупу
UI_JOBS_PRIORITY_EXPLANATION,Чим нижча оцінка — тим вище пріоритет
UI_ANYTHING,Будь-що
UI_WORK,Працювати
UI_SLEEP,Спати
UI_ENTERTAINMENT,Розваги
UI_CONTAINED_MATERIALS,Матеріали всередині:
UI_CROP,Насіння
UI_SEED_AMOUNT,Доступне насіння
UI_INGREDIENT,Інгредіәнти
UI_RECIPE,Recipe
UI_INGREDIENTS_ADDED,Додані інгредієнти:
UI_GAME_STATS,Ігрова Статистика
UI_BUILDING,Будуємо
UI_SHIP_SYSTEMS,Корабельні системи
